,chr,pos (cM),LOD PG_16_0,LOD PG_16_1,LOD PG_18_0,LOD PG_18_2,LOD PG_18_3,LOD MGDG_16_0,LOD MGDG_18_2,LOD MGDG_18_3,LOD DGDG_16_0,LOD DGDG_18_2,LOD DGDG_18_3,LOD PC_16_0,LOD PC_18_1,LOD PC_18_2,LOD PC_18_3,LOD SQDG_16_0,LOD SQDG_18_0,LOD SQDG_18_1,LOD SQDG_18_2,LOD SQDG_18_3,LOD PEPI_16_0,LOD PEPI_18_1,LOD PEPI_18_2,LOD PEPI_18_3,LOD HMP-PG
32,1,22.07,0.032622882,0.018739759,0.383796591,0.184486907,0.11860774,0.00591555,0.023611622,0.013402741,0.22557108,0.15760178,0.204671964,0.371000552,0.255983484,0.198271033,0.419829752,0.016726292,0.007541083,0.142769166,0.008764403,0.035385124,0.058258587,0.007720744,0.018374319,0.068394652,0.017631106
33,1,22.68,0.026176753,0.016192529,0.359513503,0.165140104,0.11519696,0.007634992,0.027633433,0.01543666,0.217732765,0.153316288,0.2040216,0.379676615,0.276293229,0.227377039,0.413097,0.017622525,0.007185274,0.146048358,0.01134709,0.028611722,0.067652813,0.008108978,0.022231484,0.065434784,0.015804288
34,1,23.29,0.019730624,0.013645298,0.335230414,0.1457933,0.111786179,0.009354434,0.031655245,0.017470579,0.209894451,0.149030797,0.203371237,0.388352678,0.296602974,0.256483045,0.406364249,0.018518757,0.006829466,0.14932755,0.013929776,0.021838319,0.077047039,0.008497212,0.026088648,0.062474916,0.013977471
35,1,25,0.001660328,0.0065047,0.267158149,0.091558818,0.102224811,0.014174509,0.042929504,0.023172221,0.187921471,0.137017369,0.201548087,0.412674101,0.35353685,0.338075291,0.387490471,0.021031146,0.005832035,0.158520038,0.021169767,0.002850586,0.103381671,0.009585539,0.036901356,0.05417758,0.008856392
36,1,25.17,0.009935058,0.006283585,0.261620486,0.088635102,0.099117165,0.013692661,0.04446821,0.023004488,0.188360524,0.132358828,0.205178131,0.428186141,0.354337435,0.330477031,0.380098202,0.021490019,0.011351108,0.157342291,0.021439962,0.003015925,0.101844654,0.01122579,0.036010514,0.052399266,0.01075078
37,1,25.78,0.039626732,0.00549017,0.241750048,0.078144122,0.087966201,0.011963674,0.04998945,0.022402622,0.189935949,0.115642889,0.218203582,0.483846991,0.357210122,0.303212685,0.353573003,0.023136565,0.031154838,0.15311626,0.022409483,0.003609202,0.096329475,0.017111393,0.032813964,0.046018257,0.017548292
38,1,28.31,0.162774171,0.00219945,0.159336592,0.034632354,0.04171712,0.004792634,0.072889018,0.019906357,0.196470088,0.046312845,0.272227177,0.714702645,0.369124709,0.190132691,0.243558652,0.029965683,0.113291619,0.135588622,0.026430612,0.006069842,0.073455043,0.041522176,0.019556141,0.019552759,0.045741248
39,1,28.91,0.191979097,0.001419042,0.139791899,0.024313358,0.030748959,0.003091992,0.078319746,0.019314358,0.198019687,0.029870938,0.285039096,0.769451022,0.371950302,0.163315301,0.217468292,0.031585237,0.132770698,0.131431869,0.02738424,0.006653393,0.068030276,0.047311294,0.016411993,0.013276356,0.052427325
40,1,28.91,0.191979097,0.001419042,0.139791899,0.024313358,0.030748959,0.003091992,0.078319746,0.019314358,0.198019687,0.029870938,0.285039096,0.769451022,0.371950302,0.163315301,0.217468292,0.031585237,0.132770698,0.131431869,0.02738424,0.006653393,0.068030276,0.047311294,0.016411993,0.013276356,0.052427325
41,1,29.52,0.221670772,0.000625628,0.119921461,0.013822378,0.019597995,0.001363006,0.083840986,0.018712491,0.199595112,0.013154998,0.298064548,0.825111871,0.374822989,0.136050954,0.190943092,0.033231783,0.152574428,0.127205838,0.028353761,0.00724667,0.062515097,0.053196898,0.013215443,0.006895347,0.059224836
42,1,30,0.245034713,1.30E-06,0.104285707,0.005567181,0.010823466,2.49E-06,0.088185568,0.018238892,0.20083479,1.47E-06,0.308314084,0.868910572,0.377083464,0.114597042,0.170070804,0.034527426,0.168157691,0.123880436,0.029116663,0.007713511,0.058175283,0.057828192,0.010700125,0.001874225,0.064573697
43,1,30.13,0.249641248,0.00338582,0.10433884,0.006957492,0.011086069,0.000982961,0.086898373,0.018372114,0.198190344,4.21E-06,0.306129496,0.851836448,0.394453557,0.117991489,0.167746047,0.037981853,0.165275688,0.121007186,0.028369442,0.008992544,0.062338598,0.061326223,0.012324816,0.001855287,0.064813685
44,1,32.01,0.316258834,0.052331176,0.105107221,0.027063533,0.014883721,0.015162048,0.06828355,0.020298714,0.159947582,4.37E-05,0.274537,0.604918346,0.645651815,0.167080409,0.13412648,0.087938179,0.123597495,0.079455572,0.017563472,0.027489327,0.122546525,0.111913136,0.035820344,0.00158142,0.06828428
45,1,33.26,0.360552442,0.08487463,0.105618112,0.040431911,0.017408755,0.024589633,0.055906673,0.021579699,0.134520213,7.00E-05,0.25353135,0.440744076,0.812671934,0.199719319,0.111773045,0.121153822,0.09588593,0.051828168,0.010378652,0.039787719,0.162578392,0.145548051,0.051442371,0.001399327,0.070591856
46,1,35,0.422209144,0.130175118,0.106329273,0.059040693,0.020923603,0.037712831,0.038678061,0.023362829,0.099125316,0.000106591,0.224291486,0.212213493,1.045163939,0.245152681,0.080657062,0.167389997,0.057311432,0.013370823,0.000377382,0.056907082,0.21830275,0.192367853,0.073188232,0.001145855,0.073804002
47,1,35.14,0.420857167,0.132805096,0.106545653,0.06157427,0.021113338,0.036959475,0.037903079,0.023579032,0.099220937,0.000115766,0.224267645,0.212325216,1.049125912,0.242233711,0.078931666,0.169182038,0.058383366,0.013023497,0.000368208,0.056828255,0.2185319,0.194359721,0.071221745,0.002224221,0.073498387
48,1,35.75,0.41496641,0.144264284,0.10748845,0.072613426,0.021940039,0.033676994,0.034526373,0.024521061,0.099637569,0.000155744,0.224163765,0.212812008,1.066388798,0.229515342,0.071413869,0.176990218,0.063053935,0.011510148,0.000328235,0.056484794,0.219530341,0.203038571,0.06265348,0.006922815,0.072166778
49,2,0,0.01533754,0.128632027,0.017236394,0.465382331,0.002295227,0.007468623,0.052710843,0.019533726,0.248602329,0.023101611,0.151836898,0.003166393,0.042964263,0.139121137,0.530958884,0.001333828,0.241053456,0.192395097,0.160564748,0.00646727,0.106897456,0.029350953,1.112494206,0.285895638,4.77E-06
50,2,0.6,0.01384947,0.117726246,0.015191533,0.464380942,0.002324613,0.031088907,0.047752008,0.023536597,0.222455864,0.027321245,0.134281566,0.002848502,0.041164435,0.135553824,0.545665778,0.001448956,0.243380311,0.189646294,0.161308568,0.00625221,0.102066566,0.032517245,1.086182951,0.287152183,1.29E-05
51,2,1.8,0.010873331,0.095914684,0.01110181,0.462378164,0.002383384,0.078329476,0.037834336,0.031542338,0.170162932,0.035760514,0.099170901,0.00221272,0.03756478,0.128419199,0.575079567,0.001679212,0.248034021,0.18414869,0.162796207,0.005822089,0.092404787,0.038849828,1.033560441,0.289665273,2.91E-05
52,2,2.4,0.009385261,0.085008903,0.009056949,0.461376775,0.00241277,0.10194976,0.0328755,0.035545209,0.144016467,0.039980148,0.081615569,0.001894828,0.035764952,0.124851887,0.589786462,0.001794339,0.250360876,0.181399887,0.163540027,0.005607029,0.087573897,0.04201612,1.007249186,0.290921818,3.72E-05
53,2,2.4,0.009385261,0.085008903,0.009056949,0.461376775,0.00241277,0.10194976,0.0328755,0.035545209,0.144016467,0.039980148,0.081615569,0.001894828,0.035764952,0.124851887,0.589786462,0.001794339,0.250360876,0.181399887,0.163540027,0.005607029,0.087573897,0.04201612,1.007249186,0.290921818,3.72E-05
54,2,2.4,0.009385261,0.085008903,0.009056949,0.461376775,0.00241277,0.10194976,0.0328755,0.035545209,0.144016467,0.039980148,0.081615569,0.001894828,0.035764952,0.124851887,0.589786462,0.001794339,0.250360876,0.181399887,0.163540027,0.005607029,0.087573897,0.04201612,1.007249186,0.290921818,3.72E-05
55,2,2.4,0.009385261,0.085008903,0.009056949,0.461376775,0.00241277,0.10194976,0.0328755,0.035545209,0.144016467,0.039980148,0.081615569,0.001894828,0.035764952,0.124851887,0.589786462,0.001794339,0.250360876,0.181399887,0.163540027,0.005607029,0.087573897,0.04201612,1.007249186,0.290921818,3.72E-05
