Lipid,Genotype and condition,FA,mean,sd,se
MGDG,CB27CONT,18:1 d9,0.249165358,0.052911159,0.030548272
MGDG,CB27LTCOLD,18:1 d9,0.152544873,0.063361747,0.025867325
PC,125BCOLD,16:00,20.78231229,2.549739205,1.472092616
PC,125BCONT,16:00,21.03312347,0.991285362,0.572318871
PC,125BLTCOLD,16:00,18.89036595,2.619873523,1.069558887
PC,CB27COLD,16:00,18.86882259,0.958887341,0.47944367
PC,CB27CONT,16:00,20.07137236,0.124066564,0.071629864
PC,CB27LTCOLD,16:00,18.45567094,2.140839805,0.873994191
PC,125BCOLD,16:02,0,0,0
PC,125BCONT,16:02,0.038732341,0.067086383,0.038732341
PC,125BLTCOLD,16:02,0,0,0
PC,CB27COLD,16:02,0,0,0
PC,CB27CONT,16:02,0,0,0
PC,CB27LTCOLD,16:02,0,0,0
PC,125BCOLD,16:03,0.057233213,0.099130833,0.057233213
PC,125BCONT,16:03,0,0,0
PC,125BLTCOLD,16:03,0,0,0
PC,CB27COLD,16:03,0,0,0
PC,CB27CONT,16:03,0,0,0
PC,CB27LTCOLD,16:03,0,0,0
PC,125BCOLD,18:00,3.289749448,0.559048482,0.322766792
PC,125BCONT,18:00,3.043619772,0.199701903,0.115297947
PC,125BLTCOLD,18:00,2.248840925,0.290372971,0.118544269
PC,CB27COLD,18:00,2.554843441,0.340784236,0.170392118
PC,CB27CONT,18:00,2.653632452,0.246707542,0.142436666
PC,CB27LTCOLD,18:00,2.111534043,0.329284178,0.134429703
PC,125BCOLD,18:02,39.15925968,0.635427798,0.36686441
PC,125BCONT,18:02,32.97783711,0.723221637,0.417552207
PC,125BLTCOLD,18:02,37.69278502,2.473386023,1.009755615
PC,CB27COLD,18:02,35.62430712,1.685460967,0.842730483
PC,CB27CONT,18:02,35.67105944,1.815557123,1.048212394
PC,CB27LTCOLD,18:02,39.37545265,1.764042809,0.720167461
PC,125BCOLD,18:03,32.98374219,3.494926107,2.017796529
PC,125BCONT,18:03,39.18551236,1.392608454,0.804022866
PC,125BLTCOLD,18:03,36.96243204,2.123191543,0.866789318
PC,CB27COLD,18:03,40.17796209,2.563034268,1.281517134
PC,CB27CONT,18:03,37.97967031,1.945119591,1.12301532
PC,CB27LTCOLD,18:03,34.42176485,3.176423217,1.296769348
PC,125BCOLD,16:1 d3 & d11,0.181021021,0.066388559,0.038329452
PC,125BCONT,16:1 d3 & d11,0.26231997,0.011422356,0.0065947
PC,125BLTCOLD,16:1 d3 & d11,0,0,0
PC,CB27COLD,16:1 d3 & d11,0.169508916,0.021487786,0.010743893
PC,CB27CONT,16:1 d3 & d11,0.242518258,0.040392682,0.023320726
PC,CB27LTCOLD,16:1 d3 & d11,0,0,0
PC,125BCOLD,16:1 d7 (& d9),0.26241638,0.048005543,0.027716013
PC,125BCONT,16:1 d7 (& d9),0.272766524,0.050360887,0.029075872
PC,125BLTCOLD,16:1 d7 (& d9),0,0,0
PC,CB27COLD,16:1 d7 (& d9),0.235477868,0.071405765,0.035702883
PC,CB27CONT,16:1 d7 (& d9),0.268462639,0.025610697,0.014786343
PC,CB27LTCOLD,16:1 d7 (& d9),0,0,0
PC,125BCOLD,18:1 d9,3.28426578,0.451813856,0.260854852
PC,125BCONT,18:1 d9,3.186088453,0.623052856,0.359719734
PC,125BLTCOLD,18:1 d9,4.205576062,0.397312097,0.162201985
PC,CB27COLD,18:1 d9,2.369077978,0.210924698,0.105462349
PC,CB27CONT,18:1 d9,3.113284544,0.454134992,0.26219496
PC,CB27LTCOLD,18:1 d9,5.635577513,0.991436965,0.404752446
PEPI,125BCOLD,16:00,32.73663342,4.575074451,2.641420466
PEPI,125BCONT,16:00,35.780792,2.394746682,1.382607641
PEPI,125BLTCOLD,16:00,35.70113096,3.017606191,1.349514514
PEPI,CB27COLD,16:00,29.48523455,0.698248208,0.349124104
PEPI,CB27CONT,16:00,30.28503422,2.382407328,1.375483512
PEPI,CB27LTCOLD,16:00,32.85991971,3.484017743,1.558100102
PEPI,125BCOLD,16:02,0,0,0
PEPI,125BCONT,16:02,0.159222892,0.139598582,0.080597279
